Transcription Units from All genes of E. coli K-12 substr. MG1655	Matches	Sequence - coordinates of DNA region	Sequence - length of region	Direction
ydeI	ydeI	[ydeI 1,624,105 &larr; 1,624,497]	393	-
ydeI	ydeI	[TU0-41802 1,624,105 &larr; 1,624,497]	393	-
ydeJ	ydeJ	[ydeJ 1,624,773 &rarr; 1,625,291]	519	+
ydeM	ydeM	[TU0-13291 1,579,633 &larr; 1,580,790]	1158	-
ydeN	ydeN	[TU0-13292 1,580,842 &larr; 1,582,524]	1683	-
ydeNM	ydeN // ydeM	[ydeNM 1,579,633 &larr; 1,582,524]	2892	-
ydeO	ydeO	[ydeO 1,582,926 &larr; 1,583,687]	762	-
ydeP	ydeP	[ydeP 1,584,207 &larr; 1,586,486]	2280	-
ydeQ	ydeQ	[ydeQ 1,586,820 &larr; 1,587,734]	915	-
ydeT // ydeS // ydeR	ydeS // ydeR // ydeT	[TU0-13294 1,587,793 &larr; 1,590,001]	2209	-
ydfABC	ydfC // ydfB // ydfA	[ydfABC 1,648,508 &rarr; 1,649,041]	534	+
ydfG	ydfG	[ydfG 1,627,517 &rarr; 1,628,263]	747	+
ydfH	ydfH	[ydfH 1,628,352 &rarr; 1,629,038]	687	+
ydfI	ydfI	[TU0-13313 1,629,453 &larr; 1,630,913]	1461	-
ydfJ	ydfJ	[TU0-13314 1,631,002 &larr; 1,632,285]	1284	-
ydfU // ydfT	ydfT // ydfU	[TU0-13322 1,642,489 &larr; 1,644,304]	1816	-
ydfV	ydfV	[TU0-13326 1,645,897 &rarr; 1,646,202]	306	+
ydfZ	ydfZ	[TU0-13312 1,629,215 &rarr; 1,629,418]	204	+
ydgA	ydgA	[ydgA 1,689,852 &rarr; 1,691,360]	1509	+
ydgC	ydgC	[ydgC 1,681,695 &larr; 1,682,030]	336	-
ydgD	ydgD	[TU0-13342 1,671,960 &rarr; 1,672,781]	822	+
ydgH	ydgH	[TU0-13344 1,678,427 &rarr; 1,679,371]	945	+
folM // ydgI	ydgI // folM	[TU0-13345 1,679,557 &rarr; 1,681,698]	2142	+
ydgJ	ydgJ	[ydgJ 1,703,268 &larr; 1,704,308]	1041	-
ydgK-rsxABCDGE-nth	nth // rsxC // rsxE // rsxB // rsxG // rsxA // rsxD // ydgK	[ydgK-rsxABCDGE-nth 1,705,250 &rarr; 1,712,158]	6909	+
ydhB	ydhB	[ydhB 1,738,866 &larr; 1,739,798]	933	-
ydhC	ydhC	[TU0-13360 1,739,911 &rarr; 1,741,122]	1212	+
ydhF	ydhF	[TU0-13357 1,724,736 &larr; 1,725,632]	897	-
ydhIJK	ydhJ // ydhK // ydhI	[ydhIJK 1,721,025 &rarr; 1,724,133]	3109	+
ydhL	ydhL	[TU0-13358 1,725,681 &larr; 1,725,920]	240	-
ydhM	nemR	[ydhM 1,726,023 &rarr; 1,726,622]	600	+
ydhP	ydhP	[ydhP 1,736,121 &larr; 1,737,290]	1170	-
ydhQ	ydhQ	[ydhQ 1,744,871 &larr; 1,746,127]	1257	-
ydhR	ydhR	[TU0-13361 1,746,700 &rarr; 1,747,005]	306	+
ydhS	ydhS	[TU0-13362 1,747,131 &rarr; 1,748,735]	1605	+
ydhX // ydhU // ydhT	ydhU // ydhX // ydhT	[TU0-13363 1,748,747 &larr; 1,751,013]	2267	-
ydhY // ydhV // ydhW	ydhW // ydhY // ydhV	[TU0-13364 1,751,077 &larr; 1,754,477]	3401	-
ydhYVWXUT	ydhW // ydhU // ydhY // ydhV // ydhX // ydhT	[ydhYVWXUT 1,748,747 &larr; 1,754,477]	5731	-
ydiE	ydiE	[TU0-13376 1,789,613 &rarr; 1,789,804]	192	+
ydiO // ydiF	ydiF // ydiO	[TU0-13374 1,775,587 &rarr; 1,778,347]	2761	+
ydiJ // menI // ydiH	menI // ydiJ // ydiH	[TU0-13368 1,764,934 &larr; 1,768,685]	3752	-
ydiK	ydiK	[TU0-13369 1,769,074 &rarr; 1,770,186]	1113	+
ydiL	ydiL	[TU0-13371 1,770,615 &rarr; 1,770,971]	357	+
ydiM	ydiM	[TU0-13372 1,771,071 &rarr; 1,772,285]	1215	+
aroD // ydiB // ydiN	ydiN // ydiB // aroD	[TU0-13373 1,772,512 &rarr; 1,775,444]	2933	+
ydiP	ydiP	[ydiP 1,778,390 &larr; 1,779,301]	912	-
ydiQRST-fadK	ydiR // ydiQ // fadK // ydiT // ydiS	[ydiQRST-fadK 1,779,617 &rarr; 1,784,677]	5061	+
ydiU	ydiU	[ydiU 1,789,808 &larr; 1,791,244]	1437	-
ydiV	ydiV	[ydiV 1,791,307 &larr; 1,792,020]	714	-
ydiY	ydiY	[TU0-41842 1,805,325 &larr; 1,806,083]	759	-
ydiZ	ydiZ	[TU0-13381 1,807,400 &rarr; 1,807,690]	291	+
ydjA-selD-topB	topB // ydjA // selD	[ydjA-selD-topB 1,844,999 &larr; 1,848,676]	3678	-
ydjE	ydjE	[TU0-13392 1,852,621 &larr; 1,853,979]	1359	-
ydjF	ydjF	[TU0-13393 1,854,096 &larr; 1,854,854]	759	-
ydjLKJIHG	ydjK // ydjH // ydjL // ydjJ // ydjI // ydjG	[ydjLKJIHG 1,854,991 &larr; 1,861,332]	6342	-
ydjM	ydjM	[ydjM 1,810,211 &rarr; 1,810,801]	591	+
ydjO	ydjO	[TU0-13385 1,812,329 &larr; 1,813,132]	804	-
ynjD // ynjC // ynjB // ynjA // ydjZ // ydjY // ydjX	ynjA // ydjX // ynjD // ynjC // ynjB // ydjY // ydjZ	[TU0-13388 1,833,401 &rarr; 1,839,400]	6000	+
yeaC	yeaC	[TU0-13395 1,861,702 &larr; 1,861,974]	273	-
yeaD	yeaD	[TU0-13398 1,863,850 &rarr; 1,864,734]	885	+
yeaE	yeaE	[yeaE 1,864,782 &larr; 1,865,636]	855	-
yeaGH	yeaG // yeaH	[yeaGH 1,866,908 &rarr; 1,870,238]	3331	+
yeaGH	yeaG // yeaH	[yeaGH 1,866,908 &rarr; 1,870,238]	3331	+
yeaK	yeaK	[TU0-13403 1,873,574 &rarr; 1,874,077]	504	+
yeaL	yeaL	[yeaL 1,874,352 &rarr; 1,874,798]	447	+
yeaM	nimR	[yeaM 1,874,755 &larr; 1,875,576]	822	-
yeaO	yeaO	[TU0-13405 1,876,909 &rarr; 1,877,256]	348	+
yeaP	dgcP	[yeaP 1,877,715 &rarr; 1,878,740]	1026	+
yeaQ	yeaQ	[TU0-13406 1,879,007 &larr; 1,879,255]	249	-
yeaR-yoaG	yoaG // yeaR	[yeaR-yoaG 1,879,403 &larr; 1,879,948]	546	-
yeaW // yeaV	yeaV // yeaW	[TU0-13411 1,883,188 &rarr; 1,885,789]	2602	+
yeaX	yeaX	[TU0-13412 1,885,845 &rarr; 1,886,810]	966	+
yeaY	yeaY	[yeaY 1,889,951 &larr; 1,890,532]	582	-
yebA	mepM	[yebA 1,940,313 &larr; 1,941,635]	1323	-
yebB	yebB	[yebB 1,946,251 &rarr; 1,946,853]	603	+
yebB	yebB	[yebB 1,946,251 &rarr; 1,946,853]	603	+
yebC-ruvC	yebC // ruvC	[yebC-ruvC 1,946,855 &larr; 1,948,151]	1297	-
yebE	yebE	[yebE 1,929,048 &larr; 1,929,707]	660	-
yebF	yebF	[TU0-13437 1,930,034 &larr; 1,930,390]	357	-
yebG	yebG	[yebG 1,930,457 &larr; 1,930,747]	291	-
yebK	yebK	[TU0-13439 1,936,652 &rarr; 1,937,521]	870	+
yebO	yebO	[TU0-13423 1,908,261 &larr; 1,908,548]	288	-
yebQ	yebQ	[yebQ 1,910,276 &rarr; 1,911,649]	1374	+
yebT // yebS	yebT // yebS	[TU0-13427 1,916,258 &rarr; 1,920,143]	3886	+
yebV	yebV	[TU0-13429 1,921,780 &rarr; 1,922,016]	237	+
yebW	yebW	[TU0-13430 1,922,121 &rarr; 1,922,312]	192	+
yecA	yecA	[TU0-13450 1,990,954 &larr; 1,991,619]	666	-
yecE // yecD	yecE // yecD	[TU0-13442 1,950,832 &rarr; 1,952,213]	1382	+
yecF	yecF	[yecF 1,995,818 &rarr; 1,996,042]	225	+
yecH	yecH	[yecH 1,989,251 &larr; 1,989,490]	240	-
yecJ	yecJ	[TU0-13447 1,987,507 &larr; 1,987,758]	252	-
yecM-cutC	cutC // yecM	[yecM-cutC 1,958,520 &larr; 1,959,846]	1327	-
cmoB // cmoA // yecN	cmoB // cmoA // yecN	[TU0-13443 1,952,266 &rarr; 1,954,413]	2148	+
yecR	yecR	[yecR 1,988,222 &rarr; 1,988,545]	324	+
yecT	yecT	[yecT 1,961,972 &rarr; 1,962,460]	489	+
yedA	yedA	[yedA 2,029,539 &rarr; 2,030,459]	921	+
yedD	yedD	[yedD 2,007,677 &larr; 2,008,090]	414	-
yedF // yedE	yedE // yedF	[TU0-13455 2,008,277 &rarr; 2,009,712]	1436	+
yedI	yedI	[TU0-13462 2,028,449 &larr; 2,029,366]	918	-
yedK	yedK	[TU0-13456 2,009,821 &rarr; 2,010,489]	669	+
yedL	yedL	[TU0-13457 2,010,600 &rarr; 2,011,079]	480	+
yedN	yedN	[TU0-13458 2,011,223 &larr; 2,012,351]	1129	-
yedP	yedP	[yedP 2,025,511 &rarr; 2,026,326]	816	+
yedR // yedJ	yedJ // yedR	[TU0-13463 2,032,384 &larr; 2,033,484]	1101	-
yedS	yedS	[yedS 2,034,051 &rarr; 2,035,243]	1193	+
yeeA	yeeA	[TU0-13486 2,079,533 &larr; 2,080,591]	1059	-
yeeED	yeeE // yeeD	[yeeED 2,084,226 &larr; 2,085,525]	1300	-
yeeJ	yeeJ	[TU0-13472 2,044,938 &rarr; 2,052,014]	7077	+
yeeL	yeeL	[TU0-13473 2,052,276 &larr; 2,053,328]	1053	-
yeeN	yeeN	[TU0-13476 2,056,858 &rarr; 2,057,574]	717	+
yeeO	yeeO	[TU0-13477 2,058,203 &larr; 2,059,846]	1644	-
yeeP	yeeP	[TU0-13482 2,070,786 &rarr; 2,071,211]	426	+
yeeW // cbtA // cbeA // yeeT // yeeS // yeeR	yeeR // cbeA // yeeT // yeeW // yeeS // cbtA	[TU0-13483 2,074,779 &rarr; 2,078,134]	3356	+
yeeX	yeeX	[TU0-13485 2,079,032 &larr; 2,079,361]	330	-
yeeY	yeeY	[TU0-13491 2,087,329 &larr; 2,088,258]	930	-
yeeZ	yeeZ	[TU0-13492 2,088,304 &larr; 2,089,128]	825	-
yefM-yoeB	yefM // yoeB	[yefM-yoeB 2,089,211 &larr; 2,089,713]	503	-
yegD	yegD	[yegD 2,147,674 &rarr; 2,149,026]	1353	+
yegE	dgcE	[yegE 2,143,266 &rarr; 2,146,583]	3318	+
yegH	yegH	[yegH 2,137,902 &rarr; 2,139,485]	1584	+
yegI	yegI	[yegI 2,149,039 &larr; 2,150,985]	1947	-
yegJ	yegJ	[yegJ 2,151,185 &rarr; 2,151,646]	462	+
yegL // pphC	yegL // pphC	[TU0-13501 2,151,711 &larr; 2,153,128]	1418	-
yegP	yegP	[TU0-13504 2,165,189 &rarr; 2,165,521]	333	+
yegRZ	yegZ // yegR	[yegRZ 2,167,602 &larr; 2,168,306]	705	-
yegS	yegS	[yegS 2,168,712 &rarr; 2,169,611]	900	+
yegTUV	yegT // yegV // yegU	[yegTUV 2,178,821 &rarr; 2,182,061]	3241	+
yegW	yegW	[yegW 2,182,035 &larr; 2,182,781]	747	-
yegX	yegX	[TU0-13511 2,182,833 &larr; 2,183,651]	819	-
yehD // yehC // yehB // yehA	yehB // yehD // yehA // yehC	[TU0-13516 2,187,380 &larr; 2,192,222]	4843	-
yehE	yehE	[TU0-13517 2,192,515 &larr; 2,192,796]	282	-
yehF	yehF	[yehF 2,196,474 &rarr; 2,197,298]	825	+
yehH // yehI	yehI // yehH	[TU0-13521 2,197,410 &rarr; 2,203,911]	6502	+
yehK	yehK	[TU0-13522 2,203,972 &rarr; 2,204,289]	318	+
yehQ // yehP // yehM // yehL	yehP // yehM // yehQ // yehL	[TU0-13523 2,204,596 &rarr; 2,210,944]	6349	+
yehR	yehR	[yehR 2,211,225 &rarr; 2,211,686]	462	+
yehS	yehS	[yehS 2,211,726 &larr; 2,212,196]	471	-
yeiE	yeiE	[TU0-13541 2,248,737 &larr; 2,249,618]	882	-
yeiG	yeiG	[yeiG 2,243,910 &rarr; 2,244,746]	837	+
yeiH	yeiH	[TU0-13542 2,249,717 &rarr; 2,250,766]	1050	+
yeiI	yeiI	[yeiI 2,251,700 &rarr; 2,252,788]	1089	+
yeiL	yeiL	[yeiL 2,255,355 &rarr; 2,256,014]	660	+
yeiL	yeiL	[yeiL 2,255,355 &rarr; 2,256,014]	660	+
yeiP	yeiP	[yeiP 2,265,450 &rarr; 2,266,022]	573	+
yeiQ	yeiQ	[TU0-13548 2,266,245 &rarr; 2,267,711]	1467	+
lpxT // yeiR	yeiR // lpxT	[TU0-13549 2,267,829 &rarr; 2,269,567]	1739	+
yeiW	yeiW	[yeiW 2,265,041 &larr; 2,265,295]	255	-
yejF // yejE // yejB // yejA	yejF // yejB // yejE // yejA	[TU0-13552 2,272,364 &rarr; 2,277,889]	5526	+
yejG	yejG	[yejG 2,277,893 &larr; 2,278,237]	345	-
yejG	yejG	[yejG 2,277,893 &larr; 2,278,237]	345	-
yejK	yejK	[yejK 2,282,940 &larr; 2,283,947]	1008	-
yejM // yejL	yejM // yejL	[TU0-13558 2,284,129 &rarr; 2,286,136]	2008	+
yejO	yejO	[yejO NIL &larr; NIL]		-
yfaA // yfaT // yfaS // yfaQ // yfaP	yfaA // yfaS // yfaT // yfaP // yfaQ	[TU0-13563 2,327,367 &larr; 2,336,644]	9278	-
yfaE	yfaE	[yfaE 2,348,514 &rarr; 2,348,768]	255	+
yfaH	yfaH	[yfaH 2,349,687 &rarr; 2,349,893]	207	+
yfaL	yfaL	[yfaL 2,340,417 &larr; 2,344,169]	3753	-
yfaV // yfaU	yfaV // yfaU	[TU0-13565 2,358,042 &larr; 2,360,152]	2111	-
yfaX // rhmD	yfaX // rhmD	[TU0-13566 2,360,209 &larr; 2,362,211]	2003	-
yfaXWVU	yfaX // yfaV // rhmD // yfaU	[yfaXWVU 2,358,042 &larr; 2,362,211]	4170	-
yfaY	yfaY	[yfaY 2,362,431 &larr; 2,363,633]	1203	-
yfaZ	yfaZ	[TU0-13568 2,363,733 &larr; 2,364,275]	543	-
yfbK	yfbK	[yfbK 2,383,995 &larr; 2,385,722]	1728	-
yfbL	yfbL	[TU0-13575 2,385,860 &rarr; 2,386,831]	972	+
yfbM	yfbM	[TU0-13576 2,386,934 &rarr; 2,387,437]	504	+
yfbN	yfbN	[yfbN 2,387,710 &larr; 2,388,426]	717	-
yfbO	yfbO	[TU0-13577 2,388,635 &rarr; 2,389,057]	423	+
yfbP	yfbP	[TU0-13578 2,389,116 &rarr; 2,389,964]	849	+
yfbR	yfbR	[yfbR 2,408,862 &rarr; 2,409,461]	600	+
yfbS	yfbS	[TU0-13581 2,409,520 &larr; 2,411,352]	1833	-
yfbU-hxpA	yfbU // hxpA	[yfbU-hxpA 2,411,439 &larr; 2,412,594]	1156	-
yfbV	yfbV	[TU0-13583 2,412,677 &larr; 2,413,132]	456	-
yfcC	yfcC	[TU0-13584 2,417,081 &rarr; 2,418,601]	1521	+
yfcD	yfcD	[yfcD 2,418,634 &larr; 2,419,176]	543	-
yfcE	yfcE	[yfcE 2,419,234 &larr; 2,419,788]	555	-
yfcF	yfcF	[TU0-13587 2,419,841 &larr; 2,420,485]	645	-
yfcG	yfcG	[TU0-13588 2,420,621 &rarr; 2,421,268]	648	+
yfcJ	yfcJ	[TU0-13592 2,438,942 &larr; 2,440,120]	1179	-
yfcN	smrB	[yfcN 2,448,606 &rarr; 2,449,157]	552	+
yfcU // yfcS // yfcR // yfcQ // yfcP // yfcO	yfcR // yfcQ // yfcP // yfcS // yfcU // yfcO	[TU0-13594 2,449,228 &larr; 2,455,001]	5774	-
yfcV	yfcV	[TU0-13595 2,455,083 &larr; 2,455,646]	564	-
yfcZ	yfcZ	[yfcZ 2,460,650 &larr; 2,460,934]	285	-
yfdC	yfdC	[TU0-13599 2,465,301 &rarr; 2,466,233]	933	+
yfdE	yfdE	[TU0-13608 2,488,023 &larr; 2,489,168]	1146	-
yfdF	yfdF	[TU0-13598 2,463,012 &rarr; 2,464,070]	1059	+
yfdI // yfdH // yfdG	yfdH // yfdG // yfdI	[TU0-13601 2,467,855 &rarr; 2,470,462]	2608	+
yfdO // yfdN // yfdM // yfdL // yfdK	yfdM // yfdK // yfdO // yfdN // yfdL	[TU0-13603 2,471,077 &larr; 2,473,246]	2170	-
yfdPQ	yfdQ // yfdP	[yfdPQ 2,473,604 &rarr; 2,474,856]	1253	+
yfdT // yfdS // yfdR	yfdT // yfdS // yfdR	[TU0-13605 2,474,984 &rarr; 2,476,178]	1195	+
yfdV	yfdV	[TU0-13609 2,489,242 &larr; 2,490,186]	945	-
yfdX	oxc // frc // yfdV // yfdE // yfdX	[yfdX 2,488,023 &larr; 2,494,402]	6380	-
yfdY	yfdY	[yfdY 2,495,050 &larr; 2,495,292]	243	-
yfeCD	yfeD // yfeC	[yfeCD 2,518,467 &rarr; 2,519,205]	739	+
yfeH	yfeH	[yfeH 2,526,946 &rarr; 2,527,944]	999	+
yfeKS	yfeS // yfeK	[yfeKS 2,537,342 &rarr; 2,538,483]	1142	+
yfeN	yfeN	[yfeN 2,525,127 &rarr; 2,525,891]	765	+
yfeO	yfeO	[TU0-13615 2,509,630 &rarr; 2,510,886]	1257	+
yfeR	yfeR	[yfeR 2,525,930 &larr; 2,526,856]	927	-
yfeYX	yfeX // yfeY	[yfeYX 2,549,646 &larr; 2,551,216]	1571	-
yffB-dapE-ypfN	dapE // ypfN // yffB	[yffB-dapE-ypfN 2,591,247 &rarr; 2,592,962]	1716	+
yffL	yffL	[TU0-13629 2,560,257 &rarr; 2,560,898]	642	+
yffN // yffM	yffM // yffN	[TU0-13630 2,561,368 &rarr; 2,561,993]	626	+
yffO-yffP	yffP // yffO	[yffO-yffP 2,562,111 &rarr; 2,563,117]	1007	+
yffR // yffQ	yffR // yffQ	[TU0-13632 2,563,592 &rarr; 2,564,372]	781	+
yffS	yffS	[TU0-13633 2,564,523 &rarr; 2,565,332]	810	+
yfgA	rodZ	[yfgA 2,641,831 &larr; 2,642,844]	1014	-
yfgF	pdeF	[yfgF 2,626,695 &larr; 2,628,938]	2244	-
yfgG	yfgG	[yfgG 2,629,290 &rarr; 2,629,481]	192	+
yfgI // yfgH	yfgH // yfgI	[TU0-13648 2,629,792 &rarr; 2,630,865]	1074	+
yfgJ	yfgJ	[TU0-13649 2,635,599 &larr; 2,635,814]	216	-
yfgM	yfgM	[yfgM 2,638,663 &larr; 2,639,283]	621	-
yfGM	yfgM	[yfGM 2,638,663 &larr; 2,639,283]	621	-
yfgM	yfgM	[yfgM 2,638,663 &larr; 2,639,283]	621	-
yfgO	yfgO	[yfgO 2,614,820 &larr; 2,615,881]	1062	-
yfhA	glrR	[yfhA 2,687,469 &larr; 2,688,803]	1335	-
yfhG	qseG	[yfhG 2,688,793 &larr; 2,689,506]	714	-
yfhH	yfhH	[TU0-13668 2,698,759 &rarr; 2,699,607]	849	+
yfhL	yfhL	[yfhL 2,699,663 &rarr; 2,699,923]	261	+
yfhM-pbpC	yfhM // pbpC	[yfhM-pbpC 2,645,013 &larr; 2,652,287]	7275	-
yfhR	yfhR	[TU0-13659 2,664,390 &rarr; 2,665,244]	855	+
yfiC	yfiC	[yfiC 2,712,027 &larr; 2,712,764]	738	-
yfiE	yfiE	[yfiE 2,714,439 &larr; 2,715,320]	882	-
yfiF	yfiF	[yfiF 2,717,491 &larr; 2,718,528]	1038	-
yfiK	eamB	[yfiK 2,715,423 &rarr; 2,716,010]	588	+
yfiL	yfiL	[TU0-13678 2,741,360 &rarr; 2,741,725]	366	+
yfiM	yfiM	[TU0-13673 2,724,128 &rarr; 2,724,451]	324	+
yfiR-dgcN-yfiB	dgcN // yfiR // yfiB	[yfiR-dgcN-yfiB 2,741,875 &rarr; 2,744,107]	2233	+
yfiRN	dgcN // yfiR	[yfiRN 2,741,875 &rarr; 2,743,609]	1735	+
yfjD	yfjD	[TU0-13682 2,748,774 &rarr; 2,750,060]	1287	+
yfjH	yfjH	[yfjH 2,757,644 &larr; 2,758,600]	957	-
yfjI	yfjI	[TU0-13690 2,758,985 &rarr; 2,760,394]	1410	+
yfjJ	yfjJ	[TU0-13691 2,760,547 &rarr; 2,761,173]	627	+
yfjM	yfjM	[TU0-13693 2,765,513 &larr; 2,765,776]	264	-
yfjQ // yfjP	yfjQ // yfjP	[TU0-13694 2,767,710 &rarr; 2,769,486]	1777	+
yfjT // yfjS // ypjK // yfjR	yfjT // ypjK // yfjR // yfjS	[TU0-13695 2,769,703 &rarr; 2,771,615]	1913	+
yfjU	yfjU	[TU0-13696 2,771,840 &larr; 2,772,154]	315	-
yfjV	yfjV	[yfjV 2,772,167 &larr; 2,773,182]	1016	-
yfjW	yfjW	[TU0-13698 2,773,318 &rarr; 2,775,021]	1704	+
ypjF // yfjZ // ypjJ // yfjY // yfjX	ypjF // yfjZ // yfjY // yfjX // ypjJ	[TU0-13699 2,775,919 &rarr; 2,777,782]	1864	+
ygaC	ygaC	[ygaC 2,799,650 &larr; 2,799,994]	345	-
ygaM	ygaM	[ygaM 2,800,146 &rarr; 2,800,475]	330	+
ygaQ	ygaQ	[TU0-13705 2,786,397 &rarr; 2,788,649]	2253	+
ygaP // ygaV	ygaV // ygaP	[TU0-13710 2,797,211 &rarr; 2,798,044]	834	+
ygaY	ygaY	[TU0-13712 2,808,316 &rarr; 2,809,493]	1178	+
ygaH // ygaZ	ygaH // ygaZ	[TU0-13713 2,809,617 &rarr; 2,810,679]	1063	+
ygbA	ygbA	[ygbA 2,856,453 &larr; 2,856,806]	354	-
ygbE	ygbE	[TU0-13724 2,873,014 &larr; 2,873,337]	324	-
ygbF	cas2	[ygbF 2,878,569 &larr; 2,878,853]	285	-
ygbI	ygbI	[ygbI 2,860,467 &larr; 2,861,234]	768	-
ygbK // ygbJ	ygbJ // ygbK	[TU0-13721 2,861,430 &rarr; 2,863,501]	2072	+
ygbK	ygbK	[ygbK 2,862,335 &rarr; 2,863,501]	1167	+
ygbM // ygbL	ygbM // ygbL	[TU0-13722 2,863,593 &rarr; 2,865,012]	1420	+
ygbN	ygbN	[TU0-13723 2,865,101 &rarr; 2,866,465]	1365	+
ygcG	ygcG	[ygcG 2,905,711 &rarr; 2,906,583]	873	+
ygcP // ygcO // ygcN	ygcP // ygcO // ygcN	[TU0-13728 2,892,657 &rarr; 2,894,771]	2115	+
ygcR // ygcQ	ygcQ // ygcR	[TU0-13729 2,894,919 &larr; 2,896,555]	1637	-
ygcS	ygcS	[TU0-13730 2,896,533 &larr; 2,897,870]	1338	-
ygcU	ygcU	[TU0-13731 2,897,964 &larr; 2,899,418]	1455	-
ygcW	ygcW	[TU0-13732 2,899,488 &larr; 2,900,273]	786	-
ygdD	ygdD	[ygdD 2,941,236 &larr; 2,941,631]	396	-
ygdG	ygdG	[TU0-13740 2,931,055 &rarr; 2,931,810]	756	+
ygdI	ygdI	[ygdI 2,942,918 &larr; 2,943,145]	228	-
ygdQ	ygdQ	[TU0-13748 2,970,420 &rarr; 2,971,133]	714	+
ygdR	ygdR	[TU0-13749 2,971,271 &rarr; 2,971,489]	219	+
ygeA	ygeA	[TU0-13754 2,979,943 &larr; 2,980,635]	693	-
ygeF	ygeF	[TU0-13761 2,990,554 &rarr; 2,991,043]	490	+
ygeG	ygeG	[TU0-13762 2,991,268 &rarr; 2,991,759]	492	+
ygeH	ygeH	[ygeH 2,992,094 &rarr; 2,993,470]	1377	+
ygeI	ygeI	[TU0-13764 2,993,638 &rarr; 2,993,856]	219	+
ygeL // ygeK	ygeK // ygeL	[TU0-13766 2,994,460 &larr; 2,995,092]	633	-
ygeP	ygeP	[TU0-13768 2,997,689 &larr; 2,997,988]	300	-
ygeQ	ygeQ	[TU0-13769 2,998,034 &larr; 2,998,828]	795	-
ygeR	ygeR	[TU0-13771 2,999,136 &larr; 2,999,891]	756	-
ygeV	ygeV	[ygeV 3,004,008 &larr; 3,005,786]	1779	-
ygeW	ygeW	[TU0-13773 3,006,262 &rarr; 3,007,452]	1191	+
ygeX	ygeX	[TU0-13774 3,007,510 &rarr; 3,008,706]	1197	+
ygeY	ygeY	[TU0-13775 3,008,764 &rarr; 3,009,975]	1212	+
ygfB-pepP-ubiHI	pepP // ubiH // ygfB // ubiI	[ygfB-pepP-ubiHI 3,051,115 &larr; 3,055,444]	4330	-
ygfF	ygfF	[TU0-13791 3,045,158 &larr; 3,045,901]	744	-
ygfI	ygfI	[TU0-13798 3,066,277 &larr; 3,067,173]	897	-
ygfK-ssnA	ssnA // ygfK	[ygfK-ssnA 3,016,060 &rarr; 3,020,489]	4430	+
xdhD // ygfM	xdhD // ygfM	[TU0-13782 3,020,540 &rarr; 3,024,186]	3647	+
ygfT // ygfS	ygfT // ygfS	[TU0-13784 3,028,524 &larr; 3,030,931]	2408	-
ygfZ	ygfZ	[ygfZ 3,041,313 &rarr; 3,042,293]	981	+
yggDC	fumE // yggC	[yggDC 3,073,976 &larr; 3,075,195]	1220	-
yggE	yggE	[yggE 3,067,340 &larr; 3,068,080]	741	-
yggE	yggE	[yggE 3,067,340 &larr; 3,068,080]	741	-
yggG	loiP	[yggG 3,081,913 &rarr; 3,082,671]	759	+
yggI	yggI	[TU0-13804 3,089,755 &rarr; 3,090,252]	498	+
yggM	yggM	[TU0-13808 3,098,558 &larr; 3,099,565]	1008	-
yggN	yggN	[yggN 3,100,904 &larr; 3,101,623]	720	-
yggN	yggN	[yggN 3,100,904 &larr; 3,101,623]	720	-
yggN	yggN	[yggN 3,100,904 &larr; 3,101,623]	720	-
yggR	yggR	[yggR 3,094,100 &larr; 3,095,080]	981	-
hemW // rdgB // yggU // yggT // yggS	yggU // rdgB // hemW // yggT // yggS	[TU0-13807 3,095,098 &rarr; 3,098,403]	3306	+
yggX	yggX	[yggX 3,104,093 &rarr; 3,104,368]	276	+
yggX-mltC	mltC // yggX	[yggX-mltC 3,104,093 &rarr; 3,105,512]	1420	+
yggX-mltC-nupG	nupG // mltC // yggX	[yggX-mltC-nupG 3,104,093 &rarr; 3,106,970]	2878	+
yghA	yghA	[TU0-14232 3,149,662 &rarr; 3,150,546]	885	+
yghB	yghB	[yghB 3,153,563 &rarr; 3,154,222]	660	+
yghE // yghD	yghD // yghE	[TU0-13811 3,110,590 &larr; 3,111,988]	1399	-
yghF	yghF	[yghF 3,112,054 &larr; 3,113,049]	996	-
yghG	yghG	[TU0-13813 3,113,067 &larr; 3,113,477]	411	-
yghJ	yghJ	[TU0-13815 3,114,550 &larr; 3,119,112]	4563	-
yghO	yghO	[TU0-14233 3,129,043 &larr; 3,130,215]	1173	-
yghQ	yghQ	[TU0-13816 3,131,341 &larr; 3,132,408]	1068	-
yghS // yghR	yghS // yghR	[TU0-13817 3,132,454 &larr; 3,133,957]	1504	-
yghT	yghT	[yghT 3,134,131 &rarr; 3,134,823]	693	+
yghU	yghU	[yghU 3,138,727 &rarr; 3,139,593]	867	+
yghW	yghW	[TU0-13820 3,146,450 &larr; 3,146,737]	288	-
yghX	yghX	[TU0-13821 3,146,856 &larr; 3,147,691]	836	-
yghZ	gpr	[yghZ 3,147,897 &rarr; 3,148,937]	1041	+
ygiD	ygiD	[ygiD 3,181,619 &larr; 3,182,434]	816	-
ygiF // glnE	ygiF // glnE	[TU0-13847 3,196,801 &larr; 3,200,965]	4165	-
ygiH	plsY	[ygiH 3,204,694 &rarr; 3,205,311]	618	+
ygiL	ygiL	[TU0-13842 3,185,414 &rarr; 3,185,965]	552	+
