Gene_Names	Direction	Sequence - coordinates of DNA region
ycbX	-	[ycbX 1,006,491 &larr; 1,007,600]
murR	-	[murR 2,544,752 &larr; 2,545,609]
metC	+	[metC 3,152,236 &rarr; 3,153,423]
dgoR // dgoK // dgoA // dgoD // dgoT	-	[dgoRKADT 3,870,438 &larr; 3,875,160]
ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF	-	[napFDAGHBC-ccmABCDEFGH 2,291,358 &larr; 2,303,497]
lnt // ybeX // ybeY // ybeZ	-	[ybeZYX-lnt 689,343 &larr; 693,378]
nhaR // nhaA	+	[nhaAR 17,489 &rarr; 19,620]
fur	-	[fur 710,200 &larr; 710,646]
hisI // hisF // hisA // hisH // hisB	+	[hisBHAFI 2,093,468 &rarr; 2,097,225]
zntB	+	[zntB 1,408,050 &rarr; 1,409,033]
rsmI	-	[yraL 3,292,475 &larr; 3,293,335]
torI	+	[TU0-13607 2,476,310 &rarr; 2,476,510]
ihfB	+	[ihfB 963,828 &rarr; 964,112]
dinD	+	[dinD 3,817,760 &rarr; 3,818,584]
kdsA	+	[kdsA 1,268,165 &rarr; 1,269,019]
ftsK	+	[ftsK 933,224 &rarr; 937,213]
lacI // mhpR	-	[mhpR-lacI 366,428 &larr; 368,420]
ppdD // hofB // hofC	-	[ppdD-hofBC 114,522 &larr; 117,549]
agaI // agaD // agaC // agaB // kbaY // agaS	+	[agaSYBCDI 3,281,976 &rarr; 3,287,025]
sapA // sapB // sapC // sapD // sapF	-	[TU0-13206 1,351,828 &larr; 1,357,110]
ynjH	-	[ynjH 1,841,863 &larr; 1,842,135]
rpnB	-	[TU0-13590 2,422,649 &larr; 2,423,539]
fumB	-	[fumB 4,345,680 &larr; 4,347,326]
yiaY	-	[TU0-13987 3,756,676 &larr; 3,757,827]
fimE	+	[fimE 4,542,037 &rarr; 4,542,633]
hisP // hisM // hisQ // hisJ	-	[hisJQMP 2,423,736 &larr; 2,426,788]
rcsB	+	[rcsB 2,316,177 &rarr; 2,316,827]
mokC // hokC	-	[TU0-12794 16,751 &larr; 16,960]
radA // serB	+	[serB-radA 4,624,895 &rarr; 4,627,294]
ychJ	-	[ychJ 1,288,674 &larr; 1,289,132]
idlP // iraD	+	[iraD 4,556,913 &rarr; 4,557,385]
elaD	+	[TU0-13574 2,382,713 &rarr; 2,383,924]
cynT // cynS // cynX	+	[cynTSX 358,799 &rarr; 361,146]
yhjG	-	[yhjG 3,676,290 &larr; 3,678,350]
rseC // rseB // rseA	-	[rseABC 2,707,322 &larr; 2,709,404]
ispH // fkpB // lspA // ileS	+	[ileS-lspA-fkpB-ispH 22,391 &rarr; 27,227]
yaiW // sbmA	+	[sbmA-yaiW 396,639 &rarr; 398,966]
recF // dnaN	-	[dnaN-recF 3,880,148 &larr; 3,882,321]
bcp	+	[bcp 2,600,478 &rarr; 2,600,948]
ymgG // ymgD	-	[TU0-13167 1,222,305 &larr; 1,222,988]
yjcB	-	[yjcB 4,274,760 &larr; 4,275,041]
yejM // yejL	+	[TU0-13558 2,284,129 &rarr; 2,286,136]
ubiG	+	[ubiG 2,339,567 &rarr; 2,340,289]
yhhI	+	[TU0-13951 3,624,378 &rarr; 3,625,514]
serT	-	[serT 1,031,625 &larr; 1,031,712]
aspU	+	[aspU 228,928 &rarr; 229,004]
cydB // cydA	+	[cydAB 771,458 &rarr; 774,181]
ptsG	+	[ptsG 1,157,869 &rarr; 1,159,302]
dapB	+	[dapB 28,374 &rarr; 29,195]
tfaP // ycfK // ymfQ // jayE // beeE // ymfR // ymfN // ymfM // ymfL // ymfT	+	[TU0-13151 1,203,024 &rarr; 1,208,545]
yiaT	-	[yiaT 3,751,128 &larr; 3,751,868]
yeiE	-	[TU0-13541 2,248,737 &larr; 2,249,618]
carA // carB	+	[carAB 29,651 &rarr; 34,038]
rpnA	+	[TU0-13933 3,543,167 &rarr; 3,544,045]
valV // valW	+	[valVW 1,746,435 &rarr; 1,746,592]
nemA	+	[nemA 1,726,659 &rarr; 1,727,756]
metJ	-	[metJ 4,128,078 &larr; 4,128,395]
cysG	+	[cysG 3,497,828 &rarr; 3,499,201]
ugpQ // ugpC // ugpE // ugpA // ugpB	-	[ugpBAECQ 3,587,370 &larr; 3,592,325]
yceQ	+	[TU0-13133 1,144,502 &rarr; 1,144,822]
yhbO	+	[yhbO 3,298,974 &rarr; 3,299,492]
yehQ // yehP // yehM // yehL	+	[TU0-13523 2,204,596 &rarr; 2,210,944]
mtr	-	[mtr 3,304,573 &larr; 3,305,817]
yheO // tusD // tusC // tusB	-	[yheO-tusDCB 3,474,678 &larr; 3,476,440]
ompC	-	[ompC 2,311,646 &larr; 2,312,749]
isrC	+	[isrC 2,071,317 &rarr; 2,071,511]
mgrB	-	[mgrB 1,908,623 &larr; 1,908,766]
yhjJ	-	[yhjJ 3,680,444 &larr; 3,681,940]
yggX	+	[yggX 3,104,093 &rarr; 3,104,368]
insE4 // insF4 // insEF4	-	[TU0-13117 1,094,275 &larr; 1,095,437]
ybcY	-	[ybcY 582,152 &larr; 582,806]
cyaR	+	[cyaR 2,167,114 &rarr; 2,167,200]
cysB	+	[cysB 1,333,855 &rarr; 1,334,829]
degS // degQ	+	[degQS 3,380,743 &rarr; 3,383,267]
fecR // fecI	-	[fecIR 4,516,764 &larr; 4,518,235]
yhjR	-	[yhjR 3,695,997 &larr; 3,696,185]
hpt	+	[hpt 141,431 &rarr; 141,967]
infA	-	[infA 926,225 &larr; 926,443]
ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA	-	[ccmABCDEFGH 2,291,358 &larr; 2,297,644]
yccT	-	[yccT 1,027,111 &larr; 1,027,773]
yafC	-	[yafC 229,967 &larr; 230,881]
yeeE // yeeD	-	[yeeED 2,084,226 &larr; 2,085,525]
pyrD	+	[pyrD 1,004,768 &rarr; 1,005,778]
yhbX	-	[TU0-13882 3,319,988 &larr; 3,321,613]
pgk // epd	-	[epd-pgk 3,071,459 &larr; 3,073,691]
macB // macA	+	[macAB 919,235 &rarr; 922,293]
metK	+	[metK 3,086,706 &rarr; 3,087,860]
uxuR	+	[uxuR 4,554,576 &rarr; 4,555,349]
ycaO	-	[TU0-13084 954,872 &larr; 956,632]
ybaQ	+	[ybaQ 508,218 &rarr; 508,559]
mtfA	+	[TU0-13471 2,043,651 &rarr; 2,044,448]
narK	+	[narK 1,277,957 &rarr; 1,279,348]
yhaH	+	[TU0-13866 3,252,304 &rarr; 3,252,669]
rpoH	-	[rpoH 3,599,929 &larr; 3,600,783]
rne	-	[rne 1,141,182 &larr; 1,144,367]
cheZ // cheY // cheB // cheR // tap // tar	-	[tar-tap-cheRBYZ 1,966,393 &larr; 1,972,691]
hdeD	+	[hdeD 3,656,995 &rarr; 3,657,567]
ybjH	-	[TU0-13068 884,946 &larr; 885,230]
rpmE	+	[rpmE 4,127,013 &rarr; 4,127,225]
yedF // yedE	+	[TU0-13455 2,008,277 &rarr; 2,009,712]
glnG // glnL // glnA	-	[glnALG 4,053,869 &larr; 4,058,034]
folB	-	[TU0-13848 3,204,221 &larr; 3,204,589]
mngR	-	[mngR 765,153 &larr; 765,875]
ymdF	+	[TU0-14245 1,068,081 &rarr; 1,068,254]
pfkA	+	[pfkA 4,107,552 &rarr; 4,108,514]
znuA	-	[znuA 1,941,651 &larr; 1,942,583]
hcxB	+	[TU0-13051 836,351 &rarr; 837,436]
pepT	+	[pepT 1,185,844 &rarr; 1,187,070]
yebG	-	[yebG 1,930,457 &larr; 1,930,747]
bioA	-	[bioA 807,968 &larr; 809,257]
ygiS	-	[TU0-13831 3,166,111 &larr; 3,167,718]
csgG // csgF // csgE // csgD	-	[csgDEFG 1,100,851 &larr; 1,103,196]
ftsZ	+	[ftsZ 105,305 &rarr; 106,456]
actP	-	[actP 4,283,253 &larr; 4,284,902]
garD	+	[garD 3,275,282 &rarr; 3,276,853]
dtpA	+	[tppB 1,712,769 &rarr; 1,714,271]
rlmA	-	[TU0-13421 1,906,251 &larr; 1,907,060]
sohB	+	[sohB 1,329,332 &rarr; 1,330,381]
yghJ	-	[TU0-13815 3,114,550 &larr; 3,119,112]
dsdA	+	[dsdA 2,479,202 &rarr; 2,480,530]
yjjP	-	[yjjP 4,602,088 &larr; 4,602,858]
lgoT	-	[TU0-14210 4,593,361 &larr; 4,594,722]
citG // citX // citF // citE // citD // citC	-	[citCDEFXG 646,631 &larr; 651,856]
obgE // yhbE // rpmA // rplU	-	[rplU-rpmA-yhbE-obgE 3,330,582 &larr; 3,333,451]
treF	+	[treF 3,669,592 &rarr; 3,671,241]
ybeZ // ybeY	-	[TU0-13017 691,874 &larr; 693,378]
yeaK	+	[TU0-13403 1,873,574 &rarr; 1,874,077]
lit	+	[lit 1,198,695 &rarr; 1,199,588]
topB // ydjA // selD	-	[ydjA-selD-topB 1,844,999 &larr; 1,848,676]
yqfE	-	[TU0-13796 3,059,381 &larr; 3,059,611]
sgcX // sgcB // sgcC // sgcQ // sgcA // sgcE // sgcR	-	[TU0-14193 4,526,106 &larr; 4,531,651]
sibE	-	[sibE 3,195,097 &larr; 3,195,240]
gltL // gltK // gltJ // sroC // gltI	-	[gltI-sroC-gltJKL 684,530 &larr; 687,747]
fliE	-	[fliE 2,012,700 &larr; 2,013,014]
cspE	+	[cspE 657,292 &rarr; 657,501]
ydjO	-	[TU0-13385 1,812,329 &larr; 1,813,132]
insH10	-	[insH-10 3,365,702 &larr; 3,366,682]
rpmJ // secY // rplO // rpmD // rpsE // rplR // rplF // rpsH // rpsN // rplE // rplX // rplN	-	[rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ 3,442,618 &larr; 3,448,149]
yqeC	-	[TU0-13779 3,014,287 &larr; 3,015,057]
lptG // lptF	+	[TU0-14176 4,486,218 &rarr; 4,488,400]
yfaU // yfaV // rhmD // yfaX	-	[yfaXWVU 2,358,042 &larr; 2,362,211]
ygeA // araE	-	[araE-ygeA 2,979,943 &larr; 2,982,182]
tfaX	+	[TU0-12983 582,875 &rarr; 583,060]
ydiK	+	[TU0-13369 1,769,074 &rarr; 1,770,186]
norR	-	[norR 2,830,775 &larr; 2,832,289]
pntB // pntA	-	[pntAB 1,674,972 &larr; 1,677,903]
ygeG	+	[TU0-13762 2,991,268 &rarr; 2,991,759]
ytfF	-	[TU0-14160 4,432,091 &larr; 4,433,056]
yjdC	-	[yjdC 4,362,733 &larr; 4,363,308]
ghoT // ghoS	+	[ghoST 4,352,584 &rarr; 4,353,081]
sfmA	+	[TU0-12966 558,212 &rarr; 558,754]
yebB	+	[yebB 1,946,251 &rarr; 1,946,853]
gstA	+	[gstA 1,714,377 &rarr; 1,714,982]
fimZ	-	[fimZ 563,848 &larr; 564,480]
ptrA // recB // recD	-	[ptrA-recBD 2,950,635 &larr; 2,958,884]
ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF	-	[napFDAGHBC-ccmABCDEFGH 2,291,358 &larr; 2,303,497]
yjeJ	-	[TU0-14142 4,373,365 &larr; 4,374,234]
yfgM	-	[yfGM 2,638,663 &larr; 2,639,283]
rhoL	+	[rhoL 3,966,231 &rarr; 3,966,332]
ybaN	+	[TU0-12946 490,882 &rarr; 491,259]
ansP	-	[ansP 1,524,481 &larr; 1,525,980]
speG // ynfB	+	[ynfB-speG 1,655,808 &rarr; 1,656,744]
crcB	-	[crcB 657,555 &larr; 657,938]
queD	+	[TU0-13727 2,892,214 &rarr; 2,892,579]
hsdS // hsdM	-	[hsdMS 4,580,068 &larr; 4,583,048]
yjcF	-	[TU0-14125 4,281,783 &larr; 4,283,075]
yeiL	+	[yeiL 2,255,355 &rarr; 2,256,014]
pykF	+	[pykF 1,755,698 &rarr; 1,757,110]
gluQ // dksA	-	[dksA-gluQ 159,186 &larr; 160,604]
tig	+	[tig 455,133 &rarr; 456,431]
mglC // mglA	-	[mglAC 2,236,743 &larr; 2,239,289]
gnsB	-	[gnsB 1,637,609 &larr; 1,637,782]
ygiZ	-	[ygiZ 3,171,879 &larr; 3,172,211]
ygaP // ygaV	+	[TU0-13710 2,797,211 &rarr; 2,798,044]
feoC // feoA // feoB	+	[feoABC 3,540,163 &rarr; 3,542,964]
yjbB	+	[yjbB 4,227,731 &rarr; 4,229,362]
rsd	-	[rsd 4,196,332 &larr; 4,196,808]
dctA	-	[dctA 3,682,161 &larr; 3,683,447]
patZ	+	[pka 2,719,953 &rarr; 2,722,613]
insE2 // insF2 // insEF2	-	[TU0-12910 391,739 &larr; 392,901]
yfdE // yfdV // oxc // frc // yfdX	-	[yfdX 2,488,023 &larr; 2,494,402]
dgcF	-	[TU0-13302 1,610,907 &larr; 1,611,854]
yfiE	-	[yfiE 2,714,439 &larr; 2,715,320]
abpA // abpB	-	[TU0-13692 2,761,351 &larr; 2,765,153]
creA // creB // creC // creD	+	[creABCD 4,635,521 &rarr; 4,639,530]
yiiR	+	[TU0-14082 4,112,315 &rarr; 4,112,755]
xylR	+	[xylR 3,734,979 &rarr; 3,736,157]
yibA	+	[yibA 3,766,337 &rarr; 3,767,179]
appY	+	[appY 583,681 &rarr; 584,430]
yahC	-	[TU0-12891 334,525 &larr; 335,022]
sthA	-	[sthA 4,159,390 &larr; 4,160,790]
adhP	-	[TU0-13286 1,552,828 &larr; 1,553,838]
yegJ	+	[yegJ 2,151,185 &rarr; 2,151,646]
yfiM	+	[TU0-13673 2,724,128 &rarr; 2,724,451]
ampD // ampE	+	[ampDE 118,733 &rarr; 120,135]
yihP // yihO	-	[TU0-14065 4,064,363 &larr; 4,067,194]
rnb	-	[rnb 1,346,978 &larr; 1,348,912]
mreD // mreC	-	[mreCD 3,398,387 &larr; 3,399,978]
hemA	+	[hemA 1,263,714 &rarr; 1,264,970]
yagP	-	[TU0-12875 297,381 &larr; 297,791]
hcaR	-	[hcaR 2,668,006 &larr; 2,668,896]
ortT	+	[TU0-13269 1,517,389 &rarr; 1,517,562]
ydgJ	-	[ydgJ 1,703,268 &larr; 1,704,308]
sseB	-	[TU0-13655 2,654,157 &larr; 2,654,933]
lysU	-	[lysU 4,353,200 &larr; 4,354,717]
rhtC	+	[TU0-14048 4,007,757 &rarr; 4,008,377]
mazF // mazE // relA	-	[relA-mazEF 2,910,756 &larr; 2,913,651]
cadA	-	[cadA 4,356,470 &larr; 4,358,617]
ydeM // ydeN	-	[ydeNM 1,579,633 &larr; 1,582,524]
yafY // ykfB // ykfF // yafX // ykfG // ykfH // yafW // ykfI	-	[TU0-12859 263,328 &larr; 266,553]
tsr	+	[tsr 4,591,657 &rarr; 4,593,312]
cybB	+	[TU0-13253 1,490,902 &rarr; 1,491,432]
ychO	+	[ychO 1,273,784 &rarr; 1,275,178]
ypfG	-	[TU0-13638 2,581,734 &larr; 2,582,777]
speB // speA	-	[speAB 3,082,877 &larr; 3,085,911]
ravA // viaA	-	[ravA-viaA 3,928,152 &larr; 3,931,093]
acpP // fabG	+	[fabG-acpP 1,150,670 &rarr; 1,151,851]
hemW // rdgB	+	[rdgB-yggW 3,096,681 &rarr; 3,098,403]
yaiY	-	[TU0-41509 399,025 &larr; 399,333]
dnaQ	+	[TU0-12843 236,067 &rarr; 236,798]
cstA	+	[cstA 629,894 &rarr; 631,999]
pinR	-	[TU0-13237 1,433,084 &larr; 1,433,674]
ycaN	-	[ycaN 948,660 &larr; 949,568]
zipA	-	[TU0-13621 2,530,247 &larr; 2,531,233]
fpr	-	[fpr 4,113,726 &larr; 4,114,472]
yidK // yidJ	-	[TU0-14015 3,856,911 &larr; 3,860,116]
cutA	-	[cutA 4,365,018 &larr; 4,365,356]
phoQ // phoP	-	[phoPQ 1,188,316 &larr; 1,190,447]
actP // yjcH // acs	-	[acs-yjcHG 4,283,253 &larr; 4,287,371]
yaeH	-	[TU0-12825 183,709 &larr; 184,095]
dnaQ	+	[dnaQ 236,067 &rarr; 236,798]
ynaJ	+	[TU0-13220 1,397,365 &rarr; 1,397,622]
yqhA	-	[yqhA 3,148,977 &larr; 3,149,471]
yfdQ // yfdP	+	[yfdPQ 2,473,604 &rarr; 2,474,856]
glnQ // glnP // glnH	-	[glnHPQ 845,741 &larr; 848,004]
gor	+	[gor 3,646,299 &rarr; 3,647,651]
xapB // xapA	-	[xapAB 2,522,729 &larr; 2,524,878]
lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL	+	[ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 91,032 &rarr; 107,474]
ssrS	+	[ssrS 3,055,983 &rarr; 3,056,165]
lpxC	+	[lpxC 106,557 &rarr; 107,474]
ansB	-	[ansB 3,099,682 &larr; 3,100,728]
yciW	-	[yciW 1,348,980 &larr; 1,350,107]
ynfC	-	[ynfC 1,656,747 &larr; 1,657,457]
yfcF	-	[TU0-13587 2,419,841 &larr; 2,420,485]
narL // narX	-	[narXL 1,275,179 &larr; 1,277,618]
avtA	+	[avtA 3,739,705 &rarr; 3,740,958]
envZ // ompR	-	[ompR-envZ 3,534,516 &larr; 3,536,584]
eno	-	[eno 2,906,643 &larr; 2,907,941]
glnD	-	[glnD 185,978 &larr; 188,650]
satP	-	[TU0-12791 9,928 &larr; 10,494]
rep	+	[rep 3,960,677 &rarr; 3,962,698]
ychS	+	[TU0-13180 1,286,709 &rarr; 1,286,984]
yjhD	-	[yjhD 4,506,626 &larr; 4,506,856]
elaB	-	[elaB 2,380,722 &larr; 2,381,027]
hns	-	[hns 1,292,509 &larr; 1,292,922]
yhjC	+	[yhjC 3,672,414 &rarr; 3,673,313]
pdhR // aceE // aceF // lpd	+	[pdhR-aceEF-lpdA 122,092 &rarr; 129,336]
mreB	-	[mreB 3,400,044 &larr; 3,401,087]
bamE	+	[bamE 2,753,605 &rarr; 2,753,946]
rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD	-	[rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF 3,423,423 &larr; 3,428,762]
pgi	+	[pgi 4,233,758 &rarr; 4,235,407]
ymgF	+	[TU0-13164 1,218,983 &rarr; 1,219,201]
yigE	-	[yigE 4,000,292 &larr; 4,001,056]
rsuA	-	[TU0-13555 2,279,788 &larr; 2,280,483]
malK // lamB // malM	+	[malK-lamB-malM 4,246,784 &rarr; 4,250,474]
rhsB	+	[TU0-13948 3,619,192 &rarr; 3,623,427]
leuX	+	[leuX 4,496,405 &rarr; 4,496,489]
mepM	-	[yebA 1,940,313 &larr; 1,941,635]
xdhB // xdhC // xdhA	+	[xdhABC 3,000,345 &rarr; 3,003,968]
dmsC // dmsB // dmsA	+	[dmsABC 940,959 &rarr; 944,896]
ytfJ	-	[ytfJ 4,438,708 &larr; 4,439,262]
ymfH // xisE // intE	-	[TU0-13148 1,199,679 &larr; 1,201,380]
yhjB	-	[yhjB 3,671,292 &larr; 3,671,894]
yeiS // sanA	+	[TU0-13537 2,232,878 &rarr; 2,233,839]
icd	+	[icd 1,195,123 &rarr; 1,196,373]
hslO	+	[TU0-13930 3,529,774 &rarr; 3,530,652]
thrW	+	[thrW 262,871 &rarr; 262,946]
yceH	+	[yceH 1,126,157 &rarr; 1,126,804]
narU	-	[narU 1,542,672 &larr; 1,544,060]
bglA	+	[bglA 3,043,662 &rarr; 3,045,101]
glnA	-	[glnA 4,056,625 &larr; 4,058,034]
grxB	-	[grxB 1,123,407 &larr; 1,124,054]
tsaD	-	[tsaD 3,209,530 &larr; 3,210,543]
ilvC	+	[ilvC 3,957,970 &rarr; 3,959,445]
yhdN // zntR	-	[yhdN-zntR 3,438,705 &larr; 3,439,509]
glnB	-	[glnB 2,687,070 &larr; 2,687,408]
tpke11	+	[tpke11 14,080 &rarr; 14,167]
treR	-	[treR 4,466,299 &larr; 4,467,246]
fliK // fliJ // fliI // fliH // fliG // fliF	+	[fliFGHIJK 2,013,229 &rarr; 2,019,513]
nupG // mltC // yggX	+	[yggX-mltC-nupG 3,104,093 &rarr; 3,106,970]
wrbA // yccJ	-	[wrbA-yccJ 1,066,864 &larr; 1,067,708]
yaiZ	+	[yaiZ 399,593 &rarr; 399,805]
sibB	+	[sibB 2,153,646 &rarr; 2,153,781]
ahpC // ahpF	+	[ahpCF 638,945 &rarr; 641,318]
nanR	-	[TU0-13895 3,373,698 &larr; 3,374,489]
soxR	+	[soxR 4,277,469 &rarr; 4,277,933]
ispF // ispD	-	[ispDF 2,871,301 &larr; 2,872,490]
recN	+	[recN 2,751,795 &rarr; 2,753,456]
qseC // qseB	+	[qseBC 3,169,828 &rarr; 3,171,833]
apaH // apaG // rsmA // pdxA	-	[pdxA-rsmA-apaGH 50,380 &larr; 53,416]
ycbZ	-	[TU0-13098 1,016,539 &larr; 1,018,299]
yaaI	-	[yaaI 11,382 &larr; 11,786]
yeeA	-	[TU0-13486 2,079,533 &larr; 2,080,591]
purM // purN	+	[purMN 2,621,197 &rarr; 2,622,872]
yhbW	+	[TU0-13879 3,303,448 &rarr; 3,304,455]
uraA // upp	-	[upp-uraA 2,618,871 &larr; 2,620,872]
glaR	+	[CsiR 2,795,674 &rarr; 2,796,336]
osmC	+	[osmC 1,556,625 &rarr; 1,557,056]
ibpB	-	[ibpB 3,866,469 &larr; 3,866,897]
ycaD	+	[TU0-13081 945,871 &rarr; 947,019]
srmB	+	[srmB 2,712,896 &rarr; 2,714,230]
hiuH	+	[hiuH 2,038,956 &rarr; 2,039,369]
metH	+	[metH 4,223,828 &rarr; 4,227,511]
yqjK // yqjE // yqjD // yqjC	+	[TU0-13863 3,248,969 &rarr; 3,250,376]
iscX // fdx // hscA // hscB	-	[hscBA-fdx-iscX 2,656,536 &larr; 2,659,467]
rraA	-	[rraA 4,118,845 &larr; 4,119,330]
flgN // flgM	-	[flgMN 1,129,414 &larr; 1,130,128]
gabP // gabT // gabD	+	[gabDTP 2,791,273 &rarr; 2,795,653]
bssR	+	[TU0-13065 878,248 &rarr; 878,631]
ybiT	+	[ybiT 855,963 &rarr; 857,555]
pgsA	-	[pgsA 1,992,269 &larr; 1,992,817]
galM // galK // galT // galE	-	[galETKM 787,797 &larr; 792,055]
sibD	-	[sibD 3,194,721 &larr; 3,194,865]
mbiA	+	[htgA 10,830 &rarr; 11,315]
yncJ	-	[TU0-14242 1,508,834 &larr; 1,509,064]
hemL	-	[hemL 173,602 &larr; 174,882]
znuB // znuC	+	[znuCB 1,942,662 &rarr; 1,944,199]
ybhM	+	[TU0-13048 820,793 &rarr; 821,506]
pdxK	-	[pdxK 2,536,386 &larr; 2,537,237]
ptrB	-	[ptrB 1,926,779 &larr; 1,928,839]
aroH	+	[aroH 1,788,435 &rarr; 1,789,481]
ftsP	-	[TU0-13828 3,161,257 &larr; 3,162,669]
osmB	-	[osmB 1,343,110 &larr; 1,343,328]
qorA	-	[qorA 4,263,248 &larr; 4,264,231]
nikE // nikR // nikD // nikC // nikB // nikA	+	[nikABCDER 3,613,667 &rarr; 3,618,989]
nagE	+	[nagE 703,944 &rarr; 705,890]
fbaB	-	[fbaB 2,177,512 &larr; 2,178,564]
lysZ	+	[TU0-13035 781,369 &rarr; 781,444]
yobD	+	[TU0-13419 1,904,801 &rarr; 1,905,259]
trhO	+	[yceA 1,116,807 &rarr; 1,117,859]
yghE // yghD	-	[TU0-13811 3,110,590 &larr; 3,111,988]
uxaB	-	[uxaB 1,609,229 &larr; 1,610,680]
pepD	-	[pepD 254,259 &larr; 255,716]
yggM	-	[TU0-13808 3,098,558 &larr; 3,099,565]
ubiC // ubiA	+	[ubiCA 4,252,506 &rarr; 4,253,888]
yjiV	+	[TU0-14207 4,574,135 &rarr; 4,576,855]
mdh	-	[mdh 3,383,330 &larr; 3,384,268]
sdsN	+	[sdsN 1,996,921 &rarr; 1,997,057]
mutM	-	[mutM 3,810,343 &larr; 3,811,152]
rihA	-	[TU0-13014 683,477 &larr; 684,412]
mipA	-	[mipA 1,865,726 &larr; 1,866,472]
ldrC	-	[ldrC 1,270,238 &larr; 1,270,345]
ruvB // ruvA	-	[ruvAB 1,944,346 &larr; 1,945,976]
ygfB // pepP // ubiH // ubiI	-	[ygfB-pepP-ubiHI 3,051,115 &larr; 3,055,444]
yjhU	-	[TU0-14190 4,519,338 &larr; 4,520,324]
relA	-	[relA 2,911,417 &larr; 2,913,651]
barA	+	[barA 2,915,057 &rarr; 2,917,813]
citT	-	[TU0-12998 645,117 &larr; 646,580]
yniA	+	[TU0-13382 1,807,796 &rarr; 1,808,656]
insA7	+	[insA-7 4,518,527 &rarr; 4,518,802]
pyrE // rph	-	[rph-pyrE 3,815,127 &larr; 3,816,549]
hyuA	+	[TU0-13776 3,010,028 &rarr; 3,011,413]
tabA	+	[TU0-14173 4,474,862 &rarr; 4,475,314]
nemA // nemR	+	[nemRA 1,726,023 &rarr; 1,727,756]
dcuA	-	[dcuA 4,365,472 &larr; 4,366,773]
ybcW	+	[TU0-12980 579,880 &rarr; 580,086]
prs // ispE // lolB	-	[lolB-ispE-prs 1,260,928 &larr; 1,263,500]
ldtE	-	[TU0-13366 1,757,721 &larr; 1,758,725]
ompW	+	[ompW 1,314,020 &rarr; 1,314,658]
folK // pcnB	-	[pcnB-folK 157,253 &larr; 159,126]
yqeH	+	[TU0-13759 2,987,536 &rarr; 2,988,168]
ulaR	-	[TU0-14157 4,417,698 &larr; 4,418,453]
tpiA	-	[tpiA 4,110,740 &larr; 4,111,507]
ompN // ydbK	-	[ydbK-ompN 1,435,760 &larr; 1,440,784]
ppiB // lpxH	-	[TU0-12963 553,218 &larr; 554,437]
ruvC // yebC	-	[yebC-ruvC 1,946,855 &larr; 1,948,151]
add	+	[add 1,702,233 &rarr; 1,703,234]
fadE	-	[fadE 240,859 &larr; 243,303]
csdE // csdA	+	[TU0-13741 2,943,337 &rarr; 2,944,985]
moeB // moeA	-	[moeAB 864,380 &larr; 866,364]
dtpC	-	[TU0-14139 4,354,954 &larr; 4,356,411]
trpS // gph // rpe	-	[rpe-gph-trpS 3,512,634 &larr; 3,515,059]
yfgD // bepA	+	[bepA-yfgD 2,616,094 &rarr; 2,617,937]
bglG	-	[bglG 3,905,731 &larr; 3,906,567]
tomB // hha	-	[tomB-hha 480,090 &larr; 480,708]
tktB // talA	+	[talA-tktB 2,578,666 &rarr; 2,581,639]
ynfP	-	[TU0-13332 1,652,728 &larr; 1,652,838]
bisC	-	[bisC 3,714,061 &larr; 3,716,394]
ygbE	-	[TU0-13724 2,873,014 &larr; 2,873,337]
hemY // hemX // hemD // hemC	-	[hemCDXY 3,986,686 &larr; 3,990,766]
yjbR // yjbQ	+	[yjbQR 4,270,238 &rarr; 4,271,014]
hflC // hflK // hflX // hfq // miaA // mutL // amiB // tsaE // nnr	+	[yjeFE-amiB-mutL-miaA-hfq-hflXKC 4,394,066 &rarr; 4,404,304]
acnA	+	[acnA 1,335,831 &rarr; 1,338,506]
yhjX	-	[yhjX 3,710,799 &larr; 3,712,007]
yajR	-	[yajR 445,302 &larr; 446,666]
rpsT	-	[rpsT 20,815 &larr; 21,078]
ynfT // ydfK	+	[yntF-ydfK 1,632,890 &rarr; 1,633,305]
ygiD	-	[ygiD 3,181,619 &larr; 3,182,434]
ygaQ	+	[TU0-13705 2,786,397 &rarr; 2,788,649]
fabH // fabD // fabG	+	[fabHDG 1,148,759 &rarr; 1,151,404]
yjaG	+	[TU0-14104 4,199,504 &rarr; 4,200,094]
cedA	-	[cedA 1,813,421 &larr; 1,813,663]
lpxC	+	[lpxC 106,557 &rarr; 107,474]
cbrA	+	[cbrA 3,869,377 &rarr; 3,870,441]
yaiP	-	[TU0-12906 382,739 &larr; 383,935]
ydeO	-	[ydeO 1,582,926 &larr; 1,583,687]
